epoch,accuracy,loss,val_accuracy,val_loss
0,0.8477384,0.40828602170553097,0.48998666,1.7598780930042266
1,0.9874708,0.06828882673272321,0.65220296,1.0163464269042015
2,0.99936295,0.020745137834013296,0.61615485,1.2503383090098699
3,1.0,0.00905193298751317,0.62750334,1.2700666765371957
4,1.0,0.004995619737505391,0.6515354,1.216850516696771
5,1.0,0.003198351375701046,0.6288385,1.381944407125314
6,1.0,0.002213818223127284,0.64285713,1.385410026013851
7,1.0,0.0015681480556437408,0.6321762,1.4994986554980279
8,1.0,0.0011315753153725986,0.60413885,1.8557714712619782
9,1.0,0.0008371873742197426,0.6101469,1.839936633904775
10,1.0,0.0006180241249578923,0.62416553,1.725236100157102
11,1.0,0.00046213130745777805,0.6468625,1.613400194744269
12,1.0,0.0003504794744883006,0.6134846,1.9193260551492373
13,1.0,0.0002653980975384643,0.6281709,1.8296284633378188
14,1.0,0.00020107370643049992,0.6214953,1.9829429152111213
15,1.0,0.00015216361911141705,0.61815757,2.059409132848183
16,1.0,0.00011581675574598077,0.6435247,1.858318960418304
17,1.0,8.858872022856305e-05,0.61481977,2.234357940455278
18,1.0,6.78261642039659e-05,0.63017356,2.077419854005178
19,1.0,5.2442151229896224e-05,0.62283045,2.203264394501845
20,1.0,4.050312553264861e-05,0.6255007,2.203769313395023
21,1.0,3.092052595670172e-05,0.6281709,2.264435618718465
22,1.0,2.4394393383323258e-05,0.66889185,1.9071491299072902
23,1.0,2.047983341343802e-05,0.6602136,2.0351176280279955
24,1.0,1.823688861847741e-05,0.6375167,2.370060847798983
25,0.9706944,0.11669586509903382,0.7496662,1.0395981144579127
26,0.9927798,0.021198654988179647,0.635514,2.203590391551455
27,0.99851346,0.00573442247460436,0.6575434,1.9041316397984822
28,0.99936295,0.00219584926420242,0.6662216,1.8106421652932962
29,1.0,0.000722463585728393,0.6662216,1.8289987404396137
30,0.9997876,0.0007239443354510669,0.6935915,1.6934285095582406
31,0.99957526,0.0009122290119191275,0.65687585,2.1176145140826703
32,0.99957526,0.00127560058369101,0.52536714,3.428004667361577
33,0.9989382,0.008005276069275744,0.7376502,1.4778264144264783
34,0.9980888,0.006911133623607011,0.7823765,1.36870288688185
35,0.9874708,0.04008142517593386,0.5534045,3.375882166425387
36,0.9980888,0.006588133263202245,0.73698264,1.4563863805572812
37,0.99872583,0.006375022106082801,0.6662216,1.8181587001557151
38,0.9997876,0.0008666426106656069,0.7236315,1.5239034913356106
39,1.0,0.00026053649058165393,0.6668892,1.8784926541770497
